Gene	Is gene significantly up- or downregulated in aging MII oocytes?	Source	Species
GLA	down	Ntostis 2021	human
EXOSC8	down	Ntostis 2021	human
ECE2	down	Ntostis 2021	human
TPI1P1	down	Ntostis 2021	human
FAM25BP	down	Ntostis 2021	human
CIB2	down	Ntostis 2021	human
ACADVL	down	Ntostis 2021	human
TIMM8A	down	Ntostis 2021	human
MARCHF2	down	Ntostis 2021	human
NUDT1	down	Ntostis 2021	human
DESI1	down	Ntostis 2021	human
DENND6B	down	Ntostis 2021	human
FTSJ1	down	Ntostis 2021	human
SH3BGR	down	Ntostis 2021	human
FLNA	down	Ntostis 2021	human
RPL23AP25	down	Ntostis 2021	human
CAPNS1	down	Ntostis 2021	human
CAPN13	down	Ntostis 2021	human
STUB1	down	Ntostis 2021	human
JMJD8	down	Ntostis 2021	human
CACNB4	down	Ntostis 2021	human
TRAP1	down	Ntostis 2021	human
LCMT1-AS2	down	Ntostis 2021	human
KRAS	down	Ntostis 2021	human
COMMD4	down	Ntostis 2021	human
RBBP4	down	Ntostis 2021	human
RAB1B	down	Ntostis 2021	human
PPARG	down	Ntostis 2021	human
ACOT13	down	Ntostis 2021	human
TXNRD2	down	Ntostis 2021	human
CHCHD4P3	down	Ntostis 2021	human
NDUFC2	down	Ntostis 2021	human
FBXW9	down	Ntostis 2021	human
GTF3A	down	Ntostis 2021	human
PPP1R12C	down	Ntostis 2021	human
C1orf53	down	Ntostis 2021	human
SLC9A3	down	Ntostis 2021	human
YIF1A	down	Ntostis 2021	human
C8orf82	down	Ntostis 2021	human
PSG10P	down	Ntostis 2021	human
C17orf112	down	Ntostis 2021	human
ATP6V0E2-AS1	down	Ntostis 2021	human
UBXN1	down	Ntostis 2021	human
SNHG11	down	Ntostis 2021	human
MYL12A	down	Ntostis 2021	human
SLC30A3	down	Ntostis 2021	human
TSPAN13	down	Ntostis 2021	human
MTRNR2L8	down	Ntostis 2021	human
GLB1L3	down	Ntostis 2021	human
SIRT2	down	Ntostis 2021	human
PRLR	down	Ntostis 2021	human
GTF2IRD2B	down	Ntostis 2021	human
PGM2	down	Ntostis 2021	human
NDUFV1	down	Ntostis 2021	human
VN2R9P	down	Ntostis 2021	human
DEXI	down	Ntostis 2021	human
TFAP4	down	Ntostis 2021	human
RPS7P11	down	Ntostis 2021	human
SLC25A14	down	Ntostis 2021	human
FAM173A	down	Ntostis 2021	human
KRT18	down	Ntostis 2021	human
SELENOTP1	down	Ntostis 2021	human
PMCH	down	Ntostis 2021	human
PDCD5	down	Ntostis 2021	human
C12orf60	down	Ntostis 2021	human
ATP6V1E1	down	Ntostis 2021	human
ATP6V0E2	down	Ntostis 2021	human
PSME2	down	Ntostis 2021	human
STMN1	down	Ntostis 2021	human
NDUFC1	down	Ntostis 2021	human
NELFB	down	Ntostis 2021	human
NUDT2	down	Ntostis 2021	human
POLR2G	down	Ntostis 2021	human
NAT1	down	Ntostis 2021	human
NPIPP1	down	Ntostis 2021	human
LYPD5	down	Ntostis 2021	human
CHORDC1	down	Ntostis 2021	human
OSCP1	down	Ntostis 2021	human
SF3B5	down	Ntostis 2021	human
INTS11	down	Ntostis 2021	human
CMBL	down	Ntostis 2021	human
FAM205C	down	Ntostis 2021	human
MRPL41	down	Ntostis 2021	human
PCDH19	down	Ntostis 2021	human
SYNC	down	Ntostis 2021	human
ZBTB7A	down	Ntostis 2021	human
CCDC169	down	Ntostis 2021	human
SLC45A1	down	Ntostis 2021	human
SLC26A8	down	Ntostis 2021	human
PIGH	down	Ntostis 2021	human
FAM86DP	down	Ntostis 2021	human
ARG2	down	Ntostis 2021	human
ATP5MF	down	Ntostis 2021	human
SDHD	down	Ntostis 2021	human
KRBOX1	down	Ntostis 2021	human
TRPM5	down	Ntostis 2021	human
TAFA1	down	Ntostis 2021	human
GAPDH	down	Ntostis 2021	human
DNM1P51	down	Ntostis 2021	human
CRYGS	down	Ntostis 2021	human
CHPF	down	Ntostis 2021	human
CKB	down	Ntostis 2021	human
EGLN2	down	Ntostis 2021	human
GPS1	down	Ntostis 2021	human
COA3	down	Ntostis 2021	human
KCNE2	down	Ntostis 2021	human
ABTB1	down	Ntostis 2021	human
BANF1P3	down	Ntostis 2021	human
CNIH4	down	Ntostis 2021	human
TMEM141	down	Ntostis 2021	human
MAN1B1	down	Ntostis 2021	human
CHGA	down	Ntostis 2021	human
HAX1	down	Ntostis 2021	human
POLR2I	down	Ntostis 2021	human
TMEM191A	down	Ntostis 2021	human
LSM3	down	Ntostis 2021	human
EIF1AD	down	Ntostis 2021	human
GRB14	down	Ntostis 2021	human
GPX1	down	Ntostis 2021	human
NUBP2	down	Ntostis 2021	human
ACTG1P15	down	Ntostis 2021	human
ACSL1	down	Ntostis 2021	human
COX11	down	Ntostis 2021	human
TPGS1	down	Ntostis 2021	human
PRELID1	down	Ntostis 2021	human
POLR3H	down	Ntostis 2021	human
AMBP	down	Ntostis 2021	human
ISG20	down	Ntostis 2021	human
COMT	down	Ntostis 2021	human
LYRM7	down	Ntostis 2021	human
POLD2	down	Ntostis 2021	human
WDR34	down	Ntostis 2021	human
DNASE1	down	Ntostis 2021	human
SLC22A2	down	Ntostis 2021	human
WDR77	down	Ntostis 2021	human
CSPG4P11	down	Ntostis 2021	human
BLOC1S1	down	Ntostis 2021	human
NAPA-AS1	down	Ntostis 2021	human
C19orf53	down	Ntostis 2021	human
SARNP	down	Ntostis 2021	human
CSPG4P5	down	Ntostis 2021	human
KANTR	down	Ntostis 2021	human
POP7	down	Ntostis 2021	human
ASTL	down	Ntostis 2021	human
PFKL	down	Ntostis 2021	human
AP2S1	down	Ntostis 2021	human
KCNMB3	down	Ntostis 2021	human
PRL	down	Ntostis 2021	human
PPP1R7	down	Ntostis 2021	human
ISCU	down	Ntostis 2021	human
CYC1	down	Ntostis 2021	human
OTUD6B	down	Ntostis 2021	human
ZNF621	down	Ntostis 2021	human
GEMIN2	down	Ntostis 2021	human
C4orf48	down	Ntostis 2021	human
OGFOD2	down	Ntostis 2021	human
ODF3L2	down	Ntostis 2021	human
FIBCD1	down	Ntostis 2021	human
KRT8	down	Ntostis 2021	human
SAP18	down	Ntostis 2021	human
APTR	down	Ntostis 2021	human
GPRC5D-AS1	down	Ntostis 2021	human
ARL6IP4	down	Ntostis 2021	human
NDUFC2-KCTD14	down	Ntostis 2021	human
ARL2	down	Ntostis 2021	human
NDUFB7	down	Ntostis 2021	human
NSMCE1	down	Ntostis 2021	human
SNRNP25	down	Ntostis 2021	human
CYB5A	down	Ntostis 2021	human
FAM207A	down	Ntostis 2021	human
MT1G	down	Ntostis 2021	human
ACTN1-AS1	down	Ntostis 2021	human
FIBP	down	Ntostis 2021	human
STYX	down	Ntostis 2021	human
ANKRD36B	down	Ntostis 2021	human
ACTG2	down	Ntostis 2021	human
LBHD1	down	Ntostis 2021	human
RGS10	down	Ntostis 2021	human
NDUFA7	down	Ntostis 2021	human
RPP25L	down	Ntostis 2021	human
ARPP19	down	Ntostis 2021	human
SCGB3A2	down	Ntostis 2021	human
ASGR2	down	Ntostis 2021	human
BAALC	down	Ntostis 2021	human
SPO11	down	Ntostis 2021	human
DMRTC2	down	Ntostis 2021	human
GET4	down	Ntostis 2021	human
RASSF7	down	Ntostis 2021	human
CCDC106	down	Ntostis 2021	human
UFD1	down	Ntostis 2021	human
PRDX1	down	Ntostis 2021	human
CYP2C60P	down	Ntostis 2021	human
MYO5C	down	Ntostis 2021	human
RWDD2A	down	Ntostis 2021	human
HEBP1	down	Ntostis 2021	human
NECAB2	down	Ntostis 2021	human
SLC25A4	down	Ntostis 2021	human
SURF1	down	Ntostis 2021	human
MMACHC	down	Ntostis 2021	human
ATP5PB	down	Ntostis 2021	human
SLC26A7	down	Ntostis 2021	human
ARRDC3	down	Ntostis 2021	human
FAM78A	down	Ntostis 2021	human
H2AFZ	down	Ntostis 2021	human
C6orf99	down	Ntostis 2021	human
PIN4	down	Ntostis 2021	human
EGLN1	down	Ntostis 2021	human
RNF7	down	Ntostis 2021	human
SAA1	down	Ntostis 2021	human
TSR3	down	Ntostis 2021	human
UBE2Q2L	down	Ntostis 2021	human
PSMB7	down	Ntostis 2021	human
RASSF5	down	Ntostis 2021	human
AURKAIP1	down	Ntostis 2021	human
BDH2	down	Ntostis 2021	human
LRRC26	down	Ntostis 2021	human
SEPSECS-AS1	down	Ntostis 2021	human
UCHL1	down	Ntostis 2021	human
TRIR	down	Ntostis 2021	human
MED31	down	Ntostis 2021	human
CFAP99	down	Ntostis 2021	human
APRT	down	Ntostis 2021	human
BDH2P1	down	Ntostis 2021	human
ARPIN	down	Ntostis 2021	human
THSD8	down	Ntostis 2021	human
RNASEH2A	down	Ntostis 2021	human
LY6K	down	Ntostis 2021	human
NAPA	down	Ntostis 2021	human
ZGLP1	down	Ntostis 2021	human
MTHFS	down	Ntostis 2021	human
PEX16	down	Ntostis 2021	human
INTS1	down	Ntostis 2021	human
JMJD7	down	Ntostis 2021	human
ARHGAP4	down	Ntostis 2021	human
SERPINB5	down	Ntostis 2021	human
CXCL8	down	Ntostis 2021	human
PLS3	down	Ntostis 2021	human
METTL2A	down	Ntostis 2021	human
DHRS7B	down	Ntostis 2021	human
CDC25C	down	Ntostis 2021	human
ARPC3	down	Ntostis 2021	human
LNCOC1	down	Ntostis 2021	human
OR7E11P	down	Ntostis 2021	human
JKAMP	down	Ntostis 2021	human
FAM229B	down	Ntostis 2021	human
OR14C36	down	Ntostis 2021	human
FAM160B2	down	Ntostis 2021	human
C2orf50	down	Ntostis 2021	human
UNK	down	Ntostis 2021	human
METTL26	down	Ntostis 2021	human
RNU7-1	down	Ntostis 2021	human
HMGCL	down	Ntostis 2021	human
GPR153	down	Ntostis 2021	human
TSSC2	down	Ntostis 2021	human
C12orf45	down	Ntostis 2021	human
MORN2	down	Ntostis 2021	human
PYCR1	down	Ntostis 2021	human
ELMOD2	down	Ntostis 2021	human
FAIM	down	Ntostis 2021	human
SMARCD3	down	Ntostis 2021	human
PIGP	down	Ntostis 2021	human
GGH	down	Ntostis 2021	human
NAA10	down	Ntostis 2021	human
MRPL20	down	Ntostis 2021	human
SLC16A8	down	Ntostis 2021	human
ETFB	down	Ntostis 2021	human
TM4SF19	down	Ntostis 2021	human
DHRS11	down	Ntostis 2021	human
CLBA1	down	Ntostis 2021	human
TKTL1	down	Ntostis 2021	human
TRMT2A	down	Ntostis 2021	human
TGDS	down	Ntostis 2021	human
XK	down	Ntostis 2021	human
ACTN3	down	Ntostis 2021	human
COPZ1	down	Ntostis 2021	human
AF129408.1	down	Ntostis 2021	human
IDI1	down	Ntostis 2021	human
MRPL27	down	Ntostis 2021	human
PLD3	down	Ntostis 2021	human
AP3S2	down	Ntostis 2021	human
NAXE	down	Ntostis 2021	human
SMIM26	down	Ntostis 2021	human
PMS2P10	down	Ntostis 2021	human
JMJD7-PLA2G4B	down	Ntostis 2021	human
LRPAP1	down	Ntostis 2021	human
RFC4	down	Ntostis 2021	human
ELOB	down	Ntostis 2021	human
SLC9B2	down	Ntostis 2021	human
C11orf98	down	Ntostis 2021	human
AMY2B	down	Ntostis 2021	human
SAP25	down	Ntostis 2021	human
HBQ1	down	Ntostis 2021	human
GSTP1	down	Ntostis 2021	human
SOX1	down	Ntostis 2021	human
LRRC24	down	Ntostis 2021	human
METTL23	down	Ntostis 2021	human
BOLA3	down	Ntostis 2021	human
TTC13	down	Ntostis 2021	human
NXPH1	down	Ntostis 2021	human
MYL5	down	Ntostis 2021	human
DYNLRB1	down	Ntostis 2021	human
ATP5ME	down	Ntostis 2021	human
DYNC2LI1	down	Ntostis 2021	human
AMDHD2	down	Ntostis 2021	human
COX5A	down	Ntostis 2021	human
MCL1	down	Ntostis 2021	human
HYAL6P	down	Ntostis 2021	human
CTSH	down	Ntostis 2021	human
DYNLT1	down	Ntostis 2021	human
LRRC14	down	Ntostis 2021	human
GTF2IRD2	down	Ntostis 2021	human
KCNQ2	down	Ntostis 2021	human
GALK1	down	Ntostis 2021	human
NDUFS6	down	Ntostis 2021	human
TAF1C	down	Ntostis 2021	human
GAPDHP1	down	Ntostis 2021	human
TMEM221	down	Ntostis 2021	human
TMEM237	down	Ntostis 2021	human
ABHD12	down	Ntostis 2021	human
TSEN15	down	Ntostis 2021	human
TCP11	down	Ntostis 2021	human
HIPK4	down	Ntostis 2021	human
PSMB1	down	Ntostis 2021	human
AKR1B1	down	Ntostis 2021	human
SAC3D1	down	Ntostis 2021	human
RNF103	down	Ntostis 2021	human
TMEM125	down	Ntostis 2021	human
NFIL3	down	Ntostis 2021	human
PYGM	down	Ntostis 2021	human
NDUFS5	down	Ntostis 2021	human
OR7E38P	down	Ntostis 2021	human
SLC25A1	down	Ntostis 2021	human
ZSCAN10	down	Ntostis 2021	human
LDHB	down	Ntostis 2021	human
RAB43P1	down	Ntostis 2021	human
GPX1P1	down	Ntostis 2021	human
LGALS4	down	Ntostis 2021	human
PIN1	down	Ntostis 2021	human
MALAT1	down	Ntostis 2021	human
PSMC3	down	Ntostis 2021	human
MRPL16	down	Ntostis 2021	human
WDR54	down	Ntostis 2021	human
HSF4	down	Ntostis 2021	human
DPP7	down	Ntostis 2021	human
MRPS12	down	Ntostis 2021	human
DNAJB7	down	Ntostis 2021	human
NDUFA2	down	Ntostis 2021	human
MCRIP1	down	Ntostis 2021	human
TEDC2	down	Ntostis 2021	human
THEM6	down	Ntostis 2021	human
SNHG30	down	Ntostis 2021	human
DMAC1	down	Ntostis 2021	human
HYI	down	Ntostis 2021	human
FBXO2	down	Ntostis 2021	human
CAPZA2	down	Ntostis 2021	human
CIAO2A	down	Ntostis 2021	human
UROD	down	Ntostis 2021	human
ZNF674	down	Ntostis 2021	human
RGS14	down	Ntostis 2021	human
GOLGB1	down	Ntostis 2021	human
DYNLL1	down	Ntostis 2021	human
MRFAP1	down	Ntostis 2021	human
KRBOX1-AS1	down	Ntostis 2021	human
CALR3	down	Ntostis 2021	human
VEPH1	down	Ntostis 2021	human
ATP5F1A	down	Ntostis 2021	human
NDUFA12	down	Ntostis 2021	human
TSPOAP1-AS1	down	Ntostis 2021	human
GML	down	Ntostis 2021	human
ECM2	down	Ntostis 2021	human
RMI2	down	Ntostis 2021	human
NHP2P1	down	Ntostis 2021	human
STAR	down	Ntostis 2021	human
PDHA1	down	Ntostis 2021	human
RPS6KB2	down	Ntostis 2021	human
MRPS15	down	Ntostis 2021	human
RBP1	down	Ntostis 2021	human
SDF4	down	Ntostis 2021	human
EXTL1	down	Ntostis 2021	human
NUCB1-AS1	down	Ntostis 2021	human
GIPC1	down	Ntostis 2021	human
CCDC124	down	Ntostis 2021	human
MRPL17	down	Ntostis 2021	human
UQCRC1	down	Ntostis 2021	human
TMA7	down	Ntostis 2021	human
HOXA1	down	Ntostis 2021	human
FAM86EP	down	Ntostis 2021	human
CFAP300	down	Ntostis 2021	human
AMTN	down	Ntostis 2021	human
EIF3D	down	Ntostis 2021	human
UCMA	down	Ntostis 2021	human
C2orf76	down	Ntostis 2021	human
YIF1B	down	Ntostis 2021	human
CD9	down	Ntostis 2021	human
PRSS23	down	Ntostis 2021	human
LITAFD	down	Ntostis 2021	human
ANKRD40CL	down	Ntostis 2021	human
PTGES2	down	Ntostis 2021	human
SLC35E2B	down	Ntostis 2021	human
ZFAND2B	down	Ntostis 2021	human
WBP2P1	down	Ntostis 2021	human
ARPIN-AP3S2	down	Ntostis 2021	human
PIGG	down	Ntostis 2021	human
ARPC1A	down	Ntostis 2021	human
SSTR3	down	Ntostis 2021	human
SELENOT	down	Ntostis 2021	human
DBNDD2	down	Ntostis 2021	human
PBXIP1	down	Ntostis 2021	human
MRPL22	down	Ntostis 2021	human
TH	down	Ntostis 2021	human
SUPT4H1	down	Ntostis 2021	human
MRPL12	down	Ntostis 2021	human
FAM162A	down	Ntostis 2021	human
NPAS1	down	Ntostis 2021	human
CCDC32	down	Ntostis 2021	human
APOE	down	Ntostis 2021	human
LPCAT4	down	Ntostis 2021	human
BTF3L4P2	down	Ntostis 2021	human
NOSIP	down	Ntostis 2021	human
OR7E37P	down	Ntostis 2021	human
CNIH3	down	Ntostis 2021	human
ECHS1	down	Ntostis 2021	human
TM7SF2	down	Ntostis 2021	human
AAMDC	down	Ntostis 2021	human
RAB43	down	Ntostis 2021	human
GOLT1A	down	Ntostis 2021	human
DEGS2	down	Ntostis 2021	human
FIS1	down	Ntostis 2021	human
KRT7-AS	down	Ntostis 2021	human
ABHD12B	down	Ntostis 2021	human
LYRM9	down	Ntostis 2021	human
KRT7	down	Ntostis 2021	human
STARD10	down	Ntostis 2021	human
RPP40	down	Ntostis 2021	human
TATDN1P1	down	Ntostis 2021	human
DUSP28	down	Ntostis 2021	human
DGAT2	down	Ntostis 2021	human
ZBTB48	down	Ntostis 2021	human
DPP10-AS1	down	Ntostis 2021	human
CCDC85B	down	Ntostis 2021	human
VAMP5	down	Ntostis 2021	human
ACP2	down	Ntostis 2021	human
PSMD10	down	Ntostis 2021	human
RASGRP2	down	Ntostis 2021	human
LSM6	down	Ntostis 2021	human
CCDC167	down	Ntostis 2021	human
TK1	down	Ntostis 2021	human
SCEL-AS1	down	Ntostis 2021	human
TPST2	down	Ntostis 2021	human
MTX1	down	Ntostis 2021	human
FAM57A	down	Ntostis 2021	human
EFNA3	down	Ntostis 2021	human
OR2T10	down	Ntostis 2021	human
GEMIN8P2	down	Ntostis 2021	human
PODXL2	down	Ntostis 2021	human
NDUFB3	down	Ntostis 2021	human
ARL16	down	Ntostis 2021	human
NAPRT	down	Ntostis 2021	human
MTX1P1	down	Ntostis 2021	human
TRAC	down	Ntostis 2021	human
ENPP7P7	down	Ntostis 2021	human
HDDC2	down	Ntostis 2021	human
SLIT2-IT1	down	Ntostis 2021	human
CACNA1C-AS2	down	Ntostis 2021	human
ISOC2	down	Ntostis 2021	human
ETFRF1	down	Ntostis 2021	human
TMEM191C	down	Ntostis 2021	human
MRPL15	down	Ntostis 2021	human
TCEAL8	down	Ntostis 2021	human
CXorf49	down	Ntostis 2021	human
FAM32A	down	Ntostis 2021	human
MSRB1	down	Ntostis 2021	human
TUFM	down	Ntostis 2021	human
AMZ2P1	down	Ntostis 2021	human
PPP1R3B	down	Ntostis 2021	human
C9orf135	down	Ntostis 2021	human
SHC3	down	Ntostis 2021	human
HIGD1C	down	Ntostis 2021	human
L3MBTL1	down	Ntostis 2021	human
MRPL58	down	Ntostis 2021	human
ASL	down	Ntostis 2021	human
MAP3K2-DT	down	Ntostis 2021	human
ASB11	down	Ntostis 2021	human
FBXO6	down	Ntostis 2021	human
SH2B2	down	Ntostis 2021	human
SERPINI1	down	Ntostis 2021	human
CDC42EP2	down	Ntostis 2021	human
GPX4	down	Ntostis 2021	human
FAM209B	down	Ntostis 2021	human
TRAPPC5	down	Ntostis 2021	human
RPS27P21	down	Ntostis 2021	human
C16orf86	down	Ntostis 2021	human
BCAT1	down	Ntostis 2021	human
SCX	down	Ntostis 2021	human
BTF3L4	down	Ntostis 2021	human
PIR	down	Ntostis 2021	human
ABT1	down	Ntostis 2021	human
LAMP5	down	Ntostis 2021	human
SNORA21	down	Ntostis 2021	human
C1QTNF9B	down	Ntostis 2021	human
LGALS7B	down	Ntostis 2021	human
DEDD2	down	Ntostis 2021	human
VIM	down	Ntostis 2021	human
SEPT14P21	down	Ntostis 2021	human
IFITM3	down	Ntostis 2021	human
SNRPA1	down	Ntostis 2021	human
OR7E36P	down	Ntostis 2021	human
JRK	down	Ntostis 2021	human
CHMP2A	down	Ntostis 2021	human
OR1H1P	down	Ntostis 2021	human
TFPI	down	Ntostis 2021	human
PLIN2	down	Ntostis 2021	human
GBX2	down	Ntostis 2021	human
ARHGDIG	down	Ntostis 2021	human
CALHM6	down	Ntostis 2021	human
OR5BA1P	down	Ntostis 2021	human
CDH15	down	Ntostis 2021	human
EAF2	down	Ntostis 2021	human
HHIPL1	down	Ntostis 2021	human
IDH3B	down	Ntostis 2021	human
IGHA2	down	Ntostis 2021	human
NSMF	down	Ntostis 2021	human
NDUFA1	down	Ntostis 2021	human
C7orf50	down	Ntostis 2021	human
ALG14	down	Ntostis 2021	human
MRPL28	down	Ntostis 2021	human
TMEM45B	down	Ntostis 2021	human
IFITM2	down	Ntostis 2021	human
MEGF6	down	Ntostis 2021	human
THEG	down	Ntostis 2021	human
CHST14	down	Ntostis 2021	human
FETUB	down	Ntostis 2021	human
GRK4	down	Ntostis 2021	human
CERK	down	Ntostis 2021	human
BEX3	down	Ntostis 2021	human
B2M	down	Ntostis 2021	human
IRX4	down	Ntostis 2021	human
SRP14P2	down	Ntostis 2021	human
MRPL20-AS1	down	Ntostis 2021	human
CLCN7	down	Ntostis 2021	human
MYCT1	down	Ntostis 2021	human
SSC4D	down	Ntostis 2021	human
AKR1B10	down	Ntostis 2021	human
TMEM191B	down	Ntostis 2021	human
TLR3	down	Ntostis 2021	human
C5orf58	down	Ntostis 2021	human
SPINK2	down	Ntostis 2021	human
ATP5MC1P6	down	Ntostis 2021	human
PMP22	down	Ntostis 2021	human
ZNF264	down	Ntostis 2021	human
INSYN2A	down	Ntostis 2021	human
PDLIM7	down	Ntostis 2021	human
CRYBB2P1	down	Ntostis 2021	human
SLC4A1APP1	down	Ntostis 2021	human
DEPDC1	down	Ntostis 2021	human
TCN2	down	Ntostis 2021	human
CD320	down	Ntostis 2021	human
ANKRD24	down	Ntostis 2021	human
MNX1-AS1	down	Ntostis 2021	human
CCL20	down	Ntostis 2021	human
TAB3-AS1	down	Ntostis 2021	human
HMGN3	down	Ntostis 2021	human
MCEE	down	Ntostis 2021	human
SSSCA1-AS1	down	Ntostis 2021	human
CEBPD	down	Ntostis 2021	human
GSEC	down	Ntostis 2021	human
VIM-AS1	down	Ntostis 2021	human
FHL2	down	Ntostis 2021	human
NDUFS7	down	Ntostis 2021	human
UCK1	down	Ntostis 2021	human
HEG1	down	Ntostis 2021	human
IFITM1	down	Ntostis 2021	human
C11orf52	down	Ntostis 2021	human
RGS18	down	Ntostis 2021	human
ALG1L8P	down	Ntostis 2021	human
RHBDL3	down	Ntostis 2021	human
NEAT1	down	Ntostis 2021	human
SLC29A2	down	Ntostis 2021	human
CD44	down	Ntostis 2021	human
PPM1M	down	Ntostis 2021	human
CD74	down	Ntostis 2021	human
ALDH1L1-AS1	down	Ntostis 2021	human
POMZP3	down	Ntostis 2021	human
PRPH	down	Ntostis 2021	human
UBE2Q2P8	down	Ntostis 2021	human
PCYT2	down	Ntostis 2021	human
GUCA1A	down	Ntostis 2021	human
UNC45A	down	Ntostis 2021	human
CCDC42	down	Ntostis 2021	human
ENTPD6	down	Ntostis 2021	human
HTRA1	down	Ntostis 2021	human
MYBPHL	down	Ntostis 2021	human
FXYD2	down	Ntostis 2021	human
GNAT3	down	Ntostis 2021	human
ALDH1L1	down	Ntostis 2021	human
RAB31	down	Ntostis 2021	human
WNT2	down	Ntostis 2021	human
MBD3	down	Ntostis 2021	human
BEX4	down	Ntostis 2021	human
GRASP	down	Ntostis 2021	human
RAB34	down	Ntostis 2021	human
CLU	down	Ntostis 2021	human
ITPR2	down	Ntostis 2021	human
ENPP7P4	down	Ntostis 2021	human
VEGFC	down	Ntostis 2021	human
PAGE4	down	Ntostis 2021	human
HSPB2-C11orf52	down	Ntostis 2021	human
TRIM46	down	Ntostis 2021	human
ACTA2-AS1	down	Ntostis 2021	human
LGALS3BP	down	Ntostis 2021	human
LRP1	down	Ntostis 2021	human
HDDC3	down	Ntostis 2021	human
AMIGO2	down	Ntostis 2021	human
HOPX	down	Ntostis 2021	human
ACTA2	down	Ntostis 2021	human
EIF3FP1	down	Ntostis 2021	human
CFI	down	Ntostis 2021	human
SSH3	down	Ntostis 2021	human
RNY3P8	down	Ntostis 2021	human
POU2AF1	down	Ntostis 2021	human
FCRLB	down	Ntostis 2021	human
LRP4-AS1	down	Ntostis 2021	human
IL32	down	Ntostis 2021	human
SIPA1	down	Ntostis 2021	human
PIP5KL1	down	Ntostis 2021	human
BORCS6	down	Ntostis 2021	human
HES4	down	Ntostis 2021	human
CRLF2	down	Ntostis 2021	human
SFRP4	down	Ntostis 2021	human
GADD45B	down	Ntostis 2021	human
NINJ1	down	Ntostis 2021	human
PLP1	down	Ntostis 2021	human
CXCL1	down	Ntostis 2021	human
NDP	down	Ntostis 2021	human
RCC1L	up	Ntostis 2021	human
FAM180A	up	Ntostis 2021	human
MSH5	up	Ntostis 2021	human
MSH5-SAPCD1	up	Ntostis 2021	human
TMCO3	up	Ntostis 2021	human
RPIA	up	Ntostis 2021	human
PROCA1	up	Ntostis 2021	human
LLGL2	up	Ntostis 2021	human
DDIT4-AS1	up	Ntostis 2021	human
WBP2NL	up	Ntostis 2021	human
DDIT4	up	Ntostis 2021	human
CLK3P2	up	Ntostis 2021	human
PELI3	up	Ntostis 2021	human
SEMA4B	up	Ntostis 2021	human
NPL	up	Ntostis 2021	human
IFNGR2	up	Ntostis 2021	human
ZYX	up	Ntostis 2021	human
RBMS1P1	up	Ntostis 2021	human
GPATCH1	up	Ntostis 2021	human
OR3A1	up	Ntostis 2021	human
QTRT1	up	Ntostis 2021	human
RPAP1	up	Ntostis 2021	human
UBE2Q2P1	up	Ntostis 2021	human
TMEM51-AS1	up	Ntostis 2021	human
TICAM1	up	Ntostis 2021	human
ARL4C	up	Ntostis 2021	human
KCNK5	up	Ntostis 2021	human
SDCBP2	up	Ntostis 2021	human
LHX9	up	Ntostis 2021	human
EPHA1	up	Ntostis 2021	human
ABCA1	up	Ntostis 2021	human
RBMS1	up	Ntostis 2021	human
TMEM129	up	Ntostis 2021	human
ZNF132	up	Ntostis 2021	human
DRC7	up	Ntostis 2021	human
OSR1	up	Ntostis 2021	human
ZNF551	up	Ntostis 2021	human
CYP4X1	up	Ntostis 2021	human
SLC6A11	up	Ntostis 2021	human
HAPLN3	up	Ntostis 2021	human
FBN3	up	Ntostis 2021	human
SYPL2	up	Ntostis 2021	human
DBR1	up	Ntostis 2021	human
RAB29	up	Ntostis 2021	human
ZNF335	up	Ntostis 2021	human
ADAM8	up	Ntostis 2021	human
NDST2	up	Ntostis 2021	human
DIRAS2	up	Ntostis 2021	human
ANO1	up	Ntostis 2021	human
OR4F1P	up	Ntostis 2021	human
WIPF1	up	Ntostis 2021	human
ZNF718	up	Ntostis 2021	human
DDX51	up	Ntostis 2021	human
XG	up	Ntostis 2021	human
MRGPRF	up	Ntostis 2021	human
C5orf17	up	Ntostis 2021	human
DVL2	up	Ntostis 2021	human
RBM15-AS1	up	Ntostis 2021	human
TREHP1	up	Ntostis 2021	human
TGFBR3	up	Ntostis 2021	human
H6PD	up	Ntostis 2021	human
TIAM2	up	Ntostis 2021	human
RHBDL2	up	Ntostis 2021	human
NODAL	up	Ntostis 2021	human
PCTP	up	Ntostis 2021	human
TYW1B	up	Ntostis 2021	human
NOC2LP1	up	Ntostis 2021	human
SLC27A2	up	Ntostis 2021	human
CPNE2	up	Ntostis 2021	human
CHRM1	up	Ntostis 2021	human
TP53	up	Ntostis 2021	human
PNP	up	Ntostis 2021	human
ANO1-AS1	up	Ntostis 2021	human
KIRREL3-AS1	up	Ntostis 2021	human
POM121L13P	up	Ntostis 2021	human
PIM1	up	Ntostis 2021	human
RAG1	up	Ntostis 2021	human
C8orf48	up	Ntostis 2021	human
RPS6KA1	up	Ntostis 2021	human
PROCR	up	Ntostis 2021	human
RNF123	up	Ntostis 2021	human
KHDC1	up	Ntostis 2021	human
SNRPCP16	up	Ntostis 2021	human
NEUROG1	up	Ntostis 2021	human
CCDC170	up	Ntostis 2021	human
MUC20-OT1	up	Ntostis 2021	human
ZNF365	up	Ntostis 2021	human
KIRREL3	up	Ntostis 2021	human
RASGRP4	up	Ntostis 2021	human
ZNF385C	up	Ntostis 2021	human
ANK1	up	Ntostis 2021	human
